swarm_x,obesity,Tract,GEOID,Highlight
0.0234,30.2,Tract 381,36081038100,Other Queens tracts
-0.0185,30.2,Tract 424,36081042400,Other Queens tracts
0.0394,30.2,Tract 404,36081040400,Other Queens tracts
-0.0029,30.1,Tract 196,36081019600,Other Queens tracts
-0.0572,30,Tract 788,36081078800,Other Queens tracts
0.0691,30,Tract 512,36081051200,Other Queens tracts
0.0898,30,Tract 792,36081079200,Other Queens tracts
-0.0826,30,Tract 264,36081026400,Other Queens tracts
0.1259,30,Tract 964,36081096400,Other Queens tracts
0.1951,30,Tract 6,36081000600,Other Queens tracts
-0.2015,30,Tract 680,36081068000,Other Queens tracts
0.2111,30,Tract 24,36081002400,Other Queens tracts
-0.2175,30,Tract 446.01,36081044601,Other Queens tracts
0.2271,30,Tract 432,36081043200,Other Queens tracts
0.0114,29.9,Tract 520,36081052000,Other Queens tracts
-0.0416,29.9,Tract 163,36081016300,Other Queens tracts
0.0535,29.9,Tract 616.01,36081061601,Other Queens tracts
-0.1699,29.9,Tract 363,36081036300,Other Queens tracts
0.1795,29.9,Tract 664.02,36081066402,Other Queens tracts
-0.1859,29.9,Tract 402,36081040200,Other Queens tracts
-0.026,29.8,Tract 401.02,36081040102,Other Queens tracts
-0.1223,29.8,Tract 622,36081062200,Other Queens tracts
-0.1383,29.8,Tract 492.01,36081049201,Other Queens tracts
0.1479,29.8,Tract 212,36081021200,Other Queens tracts
-0.1543,29.8,Tract 646,36081064600,Other Queens tracts
0.1639,29.8,Tract 284,36081028400,Other Queens tracts
-0.0104,29.7,Tract 403.02,36081040302,Other Queens tracts
0.0391,29.7,Tract 206,36081020600,Other Queens tracts
0.1139,29.7,Tract 411,36081041100,Other Queens tracts
-0.1067,29.7,Tract 650,36081065000,Other Queens tracts
0.0235,29.6,Tract 85,36081008500,Other Queens tracts
0.0823,29.6,Tract 846.02,36081084602,Other Queens tracts
-0.0751,29.6,Tract 398,36081039800,Other Queens tracts
0.0983,29.6,Tract 510,36081051000,Other Queens tracts
-0.0911,29.6,Tract 455,36081045500,Other Queens tracts
0.1336,29.6,Tract 638,36081063800,Other Queens tracts
0.0039,29.5,Tract 500,36081050000,Other Queens tracts
0.0667,29.5,Tract 608,36081060800,Other Queens tracts
-0.0595,29.5,Tract 504,36081050400,Other Queens tracts
0.0511,29.4,Tract 190,36081019000,Other Queens tracts
-0.0439,29.4,Tract 180,36081018000,Other Queens tracts
-0.0283,29.3,Tract 415,36081041500,Other Queens tracts
0.1216,29.3,Tract 502.01,36081050201,Other Queens tracts
-0.1199,29.3,Tract 272,36081027200,Other Queens tracts
0.016,29.2,Tract 580,36081058000,Other Queens tracts
-0.0127,29.2,Tract 254.01,36081025401,Other Queens tracts
0.0368,29.2,Tract 614,36081061400,Other Queens tracts
-0.1043,29.2,Tract 334.05,36081033405,Other Queens tracts
-0.0727,29.1,Tract 656,36081065600,Other Queens tracts
0.0912,29.1,Tract 502.02,36081050202,Other Queens tracts
-0.0887,29.1,Tract 620,36081062000,Other Queens tracts
0.1072,29.1,Tract 630,36081063000,Other Queens tracts
0.0017,29,Tract 367,36081036700,Other Queens tracts
0.0596,29,Tract 188,36081018800,Other Queens tracts
-0.0571,29,Tract 407.02,36081040702,Other Queens tracts
0.0756,29,Tract 582,36081058200,Other Queens tracts
-0.0415,28.9,Tract 273.02,36081027302,Other Queens tracts
0.0293,28.8,Tract 47,36081004700,Other Queens tracts
-0.0259,28.8,Tract 506,36081050600,Other Queens tracts
0.0453,28.8,Tract 437.01,36081043701,Other Queens tracts
0.0137,28.7,Tract 594,36081059400,Other Queens tracts
-0.0103,28.7,Tract 595.02,36081059502,Other Queens tracts
0.1156,28.7,Tract 612,36081061200,Other Queens tracts
-0.1227,28.7,Tract 938,36081093800,Other Queens tracts
0.084,28.6,Tract 202,36081020200,Other Queens tracts
-0.0911,28.6,Tract 186,36081018600,Other Queens tracts
0.1,28.6,Tract 616.02,36081061602,Other Queens tracts
-0.1071,28.6,Tract 427,36081042700,Other Queens tracts
0.0684,28.5,Tract 361,36081036100,Other Queens tracts
-0.0755,28.5,Tract 172,36081017200,Other Queens tracts
0.0017,28.4,Tract 240,36081024000,Other Queens tracts
0.0368,28.4,Tract 275,36081027500,Other Queens tracts
-0.0439,28.4,Tract 94,36081009400,Other Queens tracts
0.0528,28.4,Tract 1567,36081156700,Other Queens tracts
-0.0599,28.4,Tract 409.02,36081040902,Other Queens tracts
0.0212,28.3,Tract 258,36081025800,Other Queens tracts
-0.0283,28.3,Tract 270,36081027000,Other Queens tracts
-0.0127,28.2,Tract 182,36081018200,Other Queens tracts
0.0092,28,Tract 446.02,36081044602,Other Queens tracts
0.0466,27.9,Tract 591,36081059100,Other Queens tracts
-0.0052,27.8,Tract 39,36081003900,Other Queens tracts
-0.0212,27.8,Tract 660,36081066000,Other Queens tracts
-0.0372,27.8,Tract 194,36081019400,Other Queens tracts
0.0323,27.7,Tract 176,36081017600,Other Queens tracts
0.0167,27.6,Tract 375.02,36081037502,Other Queens tracts
-0.06,27.6,Tract 531,36081053100,Other Queens tracts
0.0755,27.6,Tract 568,36081056800,Other Queens tracts
-0.076,27.6,Tract 178,36081017800,Other Queens tracts
0.0599,27.5,Tract 1032.02,36081103202,Other Queens tracts
0.0023,27.4,Tract 589,36081058900,Other Queens tracts
-0.0137,27.4,Tract 405.02,36081040502,Other Queens tracts
-0.0297,27.4,Tract 1008.04,36081100804,Other Queens tracts
0.0443,27.4,Tract 357,36081035700,Other Queens tracts
-0.0457,27.4,Tract 204,36081020400,Other Queens tracts
0.0299,27.2,Tract 152,36081015200,Other Queens tracts
0.0143,27.1,Tract 401.01,36081040101,Other Queens tracts
-0.0133,26.9,Tract 192,36081019200,Other Queens tracts
0.043,26.9,Tract 942.03,36081094203,Other Queens tracts
0.0638,26.9,Tract 198,36081019800,Other Queens tracts
-0.1226,26.9,Tract 32,36081003200,Other Queens tracts
0.1338,26.9,Tract 559,36081055900,Other Queens tracts
0.0023,26.8,Tract 164,36081016400,Other Queens tracts
-0.0444,26.8,Tract 271.02,36081027102,Other Queens tracts
0.0287,26.7,Tract 371,36081037100,Other Queens tracts
0.1035,26.7,Tract 623,36081062300,Other Queens tracts
-0.1083,26.7,Tract 545,36081054500,Other Queens tracts
0.1195,26.7,Tract 564,36081056400,Other Queens tracts
-0.03,26.6,Tract 577,36081057700,Other Queens tracts
-0.0767,26.6,Tract 347,36081034700,Other Queens tracts
0.0879,26.6,Tract 40.01,36081004001,Other Queens tracts
-0.0927,26.6,Tract 34,36081003400,Other Queens tracts
0.0143,26.5,Tract 1008.01,36081100801,Other Queens tracts
0.0563,26.5,Tract 170,36081017000,Other Queens tracts
-0.0611,26.5,Tract 18,36081001800,Other Queens tracts
0.0723,26.5,Tract 399.01,36081039901,Other Queens tracts
-0.0156,26.4,Tract 814,36081081400,Other Queens tracts
0.0407,26.4,Tract 465,36081046500,Other Queens tracts
-0,26.3,Tract 493.02,36081049302,Other Queens tracts
-0.0467,26.3,Tract 547,36081054700,Other Queens tracts
0.0263,26.2,Tract 613.01,36081061301,Other Queens tracts
-0.0324,26.1,Tract 86,36081008600,Other Queens tracts
0.0973,26.1,Tract 110,36081011000,Other Queens tracts
-0.09,26.1,Tract 277.01,36081027701,Other Queens tracts
0.0119,26,Tract 22,36081002200,Other Queens tracts
0.053900000000000003,26,Tract 4,36081000400,Other Queens tracts
0.0817,26,Tract 1010.02,36081101002,Other Queens tracts
-0.0743,26,Tract 253.02,36081025302,Other Queens tracts
-0.018,25.9,Tract 277.02,36081027702,Other Queens tracts
0.0383,25.9,Tract 174,36081017400,Other Queens tracts
-0.0542,25.9,Tract 579,36081057900,Other Queens tracts
-0.1288,25.9,Tract 205,36081020500,Other Queens tracts
0.1409,25.9,Tract 567,36081056700,Other Queens tracts
-0.1448,25.9,Tract 166,36081016600,Other Queens tracts
-0.0024,25.8,Tract 437.02,36081043702,Other Queens tracts
0.0239,25.7,Tract 339,36081033900,Other Queens tracts
-0.0399,25.7,Tract 555,36081055500,Other Queens tracts
0.0698,25.7,Tract 216.02,36081021602,Other Queens tracts
0.1106,25.7,Tract 54,36081005400,Other Queens tracts
-0.1145,25.7,Tract 168,36081016800,Other Queens tracts
0.1266,25.7,Tract 621,36081062100,Other Queens tracts
-0.0668,25.6,Tract 444,36081044400,Other Queens tracts
-0.0828,25.6,Tract 625,36081062500,Other Queens tracts
0.095,25.6,Tract 593,36081059300,Other Queens tracts
-0.0988,25.6,Tract 238,36081023800,Other Queens tracts
0.0096,25.5,Tract 105,36081010500,Other Queens tracts
-0.0255,25.5,Tract 62.02,36081006202,Other Queens tracts
0.0554,25.5,Tract 83,36081008300,Other Queens tracts
-0.0099,25.4,Tract 327,36081032700,Other Queens tracts
0.0359,25.4,Tract 353,36081035300,Other Queens tracts
-0.0549,25.3,Tract 595.01,36081059501,Other Queens tracts
0.083,25.3,Tract 627,36081062700,Other Queens tracts
0.2378,25.3,Tract 818,36081081800,Other Queens tracts
-0.2378,25.3,Tract 925,36081092500,Other Queens tracts
0.2538,25.3,Tract 126.02,36081012602,Other Queens tracts
-0.2538,25.3,Tract 158.02,36081015802,Other Queens tracts
0.0216,25.2,Tract 149,36081014900,Other Queens tracts
