Tract,GEOID,Obesity rate,Highlight
Tract 857,36081085700,19.0,Other Queens tracts
Tract 483.02,36081048302,19.0,Other Queens tracts
Tract 997.03,36081099703,19.0,Other Queens tracts
Tract 1451.02,36081145102,19.0,Other Queens tracts
Tract 1479,36081147900,19.0,Other Queens tracts
Tract 1467,36081146700,19.0,Other Queens tracts
Tract 1181,36081118100,18.9,Other Queens tracts
Tract 1227.04,36081122704,18.9,Other Queens tracts
Tract 711,36081071100,18.9,Other Queens tracts
Tract 1093,36081109300,18.9,Other Queens tracts
Tract 1333,36081133300,18.8,Other Queens tracts
Tract 769.02,36081076902,18.8,Other Queens tracts
Tract 1291.04,36081129104,18.8,Other Queens tracts
Tract 1097,36081109700,18.8,Other Queens tracts
Tract 1459,36081145900,18.8,Other Queens tracts
Tract 454,36081045400,18.8,Other Queens tracts
Tract 265.01,36081026501,18.8,Other Queens tracts
Tract 1113,36081111300,18.8,Other Queens tracts
Tract 1529.01,36081152901,18.8,Other Queens tracts
Tract 1291.02,36081129102,18.7,Other Queens tracts
Tract 263,36081026300,18.7,Other Queens tracts
Tract 997.04,36081099704,18.7,Other Queens tracts
Tract 717.02,36081071702,18.7,Other Queens tracts
Tract 479,36081047900,18.6,Other Queens tracts
Tract 499,36081049900,18.6,Other Queens tracts
Tract 1429,36081142900,18.6,Other Queens tracts
Tract 1277,36081127700,18.6,Other Queens tracts
Tract 249,36081024900,18.6,Other Queens tracts
Tract 1171,36081117100,18.6,Other Queens tracts
Tract 1187,36081118700,18.5,Other Queens tracts
Tract 1463,36081146300,18.5,Other Queens tracts
Tract 1403,36081140300,18.5,Other Queens tracts
Tract 1347.01,36081134701,18.5,Other Queens tracts
Tract 757.02,36081075702,18.5,Other Queens tracts
Tract 450,36081045000,18.5,Other Queens tracts
Tract 889.03,36081088903,18.5,Other Queens tracts
Tract 861,36081086100,18.4,Other Queens tracts
Tract 1047,36081104700,18.3,Other Queens tracts
Tract 779.06,36081077906,18.3,Other Queens tracts
Tract 1579.01,36081157901,18.2,Other Queens tracts
Tract 1141,36081114100,18.2,Other Queens tracts
Tract 1059,36081105900,18.2,Other Queens tracts
Tract 709,36081070900,18.1,Other Queens tracts
Tract 707,36081070700,18.1,Other Queens tracts
Tract 1099,36081109900,18.1,Other Queens tracts
Tract 1203,36081120300,18.1,Other Queens tracts
Tract 230,36081023000,18.0,Other Queens tracts
Tract 1175,36081117500,18.0,Other Queens tracts
Tract 871,36081087100,18.0,Other Queens tracts
Tract 731,36081073100,17.9,Other Queens tracts
Tract 1471,36081147100,17.9,Other Queens tracts
Tract 1347.02,36081134702,17.9,Other Queens tracts
Tract 456,36081045600,17.9,Other Queens tracts
Tract 1161,36081116100,17.9,Other Queens tracts
Tract 1507.01,36081150701,17.8,Other Queens tracts
Tract 1.02,36081000102,17.8,Other Queens tracts
Tract 1207.01,36081120701,17.8,Other Queens tracts
Tract 749,36081074900,17.8,Other Queens tracts
Tract 1377,36081137700,17.7,Other Queens tracts
Tract 1147,36081114700,17.7,Other Queens tracts
Tract 1265,36081126500,17.7,Other Queens tracts
Tract 265.02,36081026502,17.7,Other Queens tracts
Tract 293,36081029300,17.7,Other Queens tracts
Tract 458,36081045800,17.7,Other Queens tracts
Tract 485,36081048500,17.7,Other Queens tracts
Tract 1241,36081124100,17.7,Other Queens tracts
Tract 475,36081047500,17.6,Other Queens tracts
Tract 1339,36081133900,17.6,Other Queens tracts
Tract 1215,36081121500,17.6,Other Queens tracts
Tract 1409.01,36081140901,17.5,Other Queens tracts
Tract 1159,36081115900,17.5,Other Queens tracts
Tract 1223,36081122300,17.5,Other Queens tracts
Tract 483.01,36081048301,17.4,Other Queens tracts
Tract 859,36081085900,17.4,Other Queens tracts
Tract 1571.01,36081157101,17.4,Other Queens tracts
Tract 803.01,36081080301,17.4,Other Queens tracts
Tract 1247,36081124700,17.3,Other Queens tracts
Tract 1483,36081148300,17.3,Other Queens tracts
Tract 1409.02,36081140902,17.3,Other Queens tracts
Tract 1579.03,36081157903,17.3,Other Queens tracts
Tract 1529.02,36081152902,17.3,Other Queens tracts
Tract 869,36081086900,17.3,Other Queens tracts
Tract 457,36081045700,17.2,Other Queens tracts
Tract 1341,36081134100,17.1,Other Queens tracts
Tract 803.02,36081080302,17.0,Other Queens tracts
Tract 1507.02,36081150702,17.0,Other Queens tracts
Tract 1151,36081115100,16.8,Other Queens tracts
Tract 1579.02,36081157902,16.8,Other Queens tracts
Tract 723,36081072300,16.8,Other Queens tracts
Tract 19.01,36081001901,16.8,Other Queens tracts
Tract 1201,36081120100,16.7,Other Queens tracts
Tract 1441,36081144100,16.7,Other Queens tracts
Tract 797.01,36081079701,16.7,Other Queens tracts
Tract 1205,36081120500,16.6,Other Queens tracts
Tract 1157,36081115700,16.6,Other Queens tracts
Tract 1571.02,36081157102,16.5,Other Queens tracts
Tract 1267,36081126700,16.5,Other Queens tracts
Tract 865,36081086500,16.5,Other Queens tracts
Tract 473,36081047300,16.4,Other Queens tracts
Tract 1435,36081143500,16.3,Other Queens tracts
Tract 1367,36081136700,16.3,Other Queens tracts
Tract 853,36081085300,16.2,Other Queens tracts
Tract 33.01,36081003301,16.0,Other Queens tracts
Tract 19.03,36081001903,15.8,Other Queens tracts
Tract 1385.01,36081138501,15.8,Other Queens tracts
Tract 1399,36081139900,15.5,Other Queens tracts
Tract 1189,36081118900,15.4,Other Queens tracts
Tract 1551.01,36081155101,15.2,Other Queens tracts
Tract 837,36081083700,14.9,Other Queens tracts
Tract 19.02,36081001902,14.3,Other Queens tracts
