Tract,GEOID,Obesity rate,Highlight
Tract 500,36081050000,29.5,Other Queens tracts
Tract 608,36081060800,29.5,Other Queens tracts
Tract 504,36081050400,29.5,Other Queens tracts
Tract 190,36081019000,29.4,Other Queens tracts
Tract 180,36081018000,29.4,Other Queens tracts
Tract 415,36081041500,29.3,Other Queens tracts
Tract 502.01,36081050201,29.3,Other Queens tracts
Tract 272,36081027200,29.3,Other Queens tracts
Tract 580,36081058000,29.2,Other Queens tracts
Tract 254.01,36081025401,29.2,Other Queens tracts
Tract 614,36081061400,29.2,Other Queens tracts
Tract 334.05,36081033405,29.2,Other Queens tracts
Tract 656,36081065600,29.1,Other Queens tracts
Tract 502.02,36081050202,29.1,Other Queens tracts
Tract 620,36081062000,29.1,Other Queens tracts
Tract 630,36081063000,29.1,Other Queens tracts
Tract 367,36081036700,29.0,Other Queens tracts
Tract 188,36081018800,29.0,Other Queens tracts
Tract 407.02,36081040702,29.0,Other Queens tracts
Tract 582,36081058200,29.0,Other Queens tracts
Tract 273.02,36081027302,28.9,Other Queens tracts
Tract 47,36081004700,28.8,Other Queens tracts
Tract 506,36081050600,28.8,Other Queens tracts
Tract 437.01,36081043701,28.8,Other Queens tracts
Tract 594,36081059400,28.7,Other Queens tracts
Tract 595.02,36081059502,28.7,Other Queens tracts
Tract 612,36081061200,28.7,Other Queens tracts
Tract 938,36081093800,28.7,Other Queens tracts
Tract 202,36081020200,28.6,Other Queens tracts
Tract 186,36081018600,28.6,Other Queens tracts
Tract 616.02,36081061602,28.6,Other Queens tracts
Tract 427,36081042700,28.6,Other Queens tracts
Tract 361,36081036100,28.5,Other Queens tracts
Tract 172,36081017200,28.5,Other Queens tracts
Tract 240,36081024000,28.4,Other Queens tracts
Tract 275,36081027500,28.4,Other Queens tracts
Tract 94,36081009400,28.4,Other Queens tracts
Tract 1567,36081156700,28.4,Other Queens tracts
Tract 409.02,36081040902,28.4,Other Queens tracts
Tract 258,36081025800,28.3,Other Queens tracts
Tract 270,36081027000,28.3,Other Queens tracts
Tract 182,36081018200,28.2,Other Queens tracts
Tract 446.02,36081044602,28.0,Other Queens tracts
Tract 591,36081059100,27.9,Other Queens tracts
Tract 39,36081003900,27.8,Other Queens tracts
Tract 660,36081066000,27.8,Other Queens tracts
Tract 194,36081019400,27.8,Other Queens tracts
Tract 176,36081017600,27.7,Other Queens tracts
Tract 375.02,36081037502,27.6,Other Queens tracts
Tract 531,36081053100,27.6,Other Queens tracts
Tract 568,36081056800,27.6,Other Queens tracts
Tract 178,36081017800,27.6,Other Queens tracts
Tract 1032.02,36081103202,27.5,Other Queens tracts
Tract 589,36081058900,27.4,Other Queens tracts
Tract 405.02,36081040502,27.4,Other Queens tracts
Tract 1008.04,36081100804,27.4,Other Queens tracts
Tract 357,36081035700,27.4,Other Queens tracts
Tract 204,36081020400,27.4,Other Queens tracts
Tract 152,36081015200,27.2,Other Queens tracts
Tract 401.01,36081040101,27.1,Other Queens tracts
Tract 192,36081019200,26.9,Other Queens tracts
Tract 942.03,36081094203,26.9,Other Queens tracts
Tract 198,36081019800,26.9,Other Queens tracts
Tract 32,36081003200,26.9,Other Queens tracts
Tract 559,36081055900,26.9,Other Queens tracts
Tract 164,36081016400,26.8,Other Queens tracts
Tract 271.02,36081027102,26.8,Other Queens tracts
Tract 371,36081037100,26.7,Other Queens tracts
Tract 623,36081062300,26.7,Other Queens tracts
Tract 545,36081054500,26.7,Other Queens tracts
Tract 564,36081056400,26.7,Other Queens tracts
Tract 577,36081057700,26.6,Other Queens tracts
Tract 347,36081034700,26.6,Other Queens tracts
Tract 40.01,36081004001,26.6,Other Queens tracts
Tract 34,36081003400,26.6,Other Queens tracts
Tract 1008.01,36081100801,26.5,Other Queens tracts
Tract 170,36081017000,26.5,Other Queens tracts
Tract 18,36081001800,26.5,Other Queens tracts
Tract 399.01,36081039901,26.5,Other Queens tracts
Tract 814,36081081400,26.4,Other Queens tracts
Tract 465,36081046500,26.4,Other Queens tracts
Tract 493.02,36081049302,26.3,Other Queens tracts
Tract 547,36081054700,26.3,Other Queens tracts
Tract 613.01,36081061301,26.2,Other Queens tracts
Tract 86,36081008600,26.1,Other Queens tracts
Tract 110,36081011000,26.1,Other Queens tracts
Tract 277.01,36081027701,26.1,Other Queens tracts
Tract 22,36081002200,26.0,Other Queens tracts
Tract 4,36081000400,26.0,Other Queens tracts
Tract 1010.02,36081101002,26.0,Other Queens tracts
Tract 253.02,36081025302,26.0,Other Queens tracts
Tract 277.02,36081027702,25.9,Other Queens tracts
Tract 174,36081017400,25.9,Other Queens tracts
Tract 579,36081057900,25.9,Other Queens tracts
Tract 205,36081020500,25.9,Other Queens tracts
Tract 567,36081056700,25.9,Other Queens tracts
Tract 166,36081016600,25.9,Other Queens tracts
Tract 437.02,36081043702,25.8,Other Queens tracts
Tract 339,36081033900,25.7,Other Queens tracts
Tract 555,36081055500,25.7,Other Queens tracts
Tract 216.02,36081021602,25.7,Other Queens tracts
Tract 54,36081005400,25.7,Other Queens tracts
Tract 168,36081016800,25.7,Other Queens tracts
Tract 621,36081062100,25.7,Other Queens tracts
Tract 444,36081044400,25.6,Other Queens tracts
Tract 625,36081062500,25.6,Other Queens tracts
Tract 593,36081059300,25.6,Other Queens tracts
