GEOID,county,population_estimate,med_inc_estimate,pct_female,pct_white,pct_black,pct_asian,pct_hispanic,pct_poverty,TractFIPS,CountyName,OBESITY_CrudePrev,med_inc_10k
36081014700,Queens County,2863.0,71815.0,0.5242752357666783,0.6231225986727209,0.054488298987076494,0.11875654907439749,0.16136919315403422,0.057651991614255764,36081014700,Queens,22.9,7.1815
36047058400,Kings County,3655.0,67315.0,0.5912448700410396,0.6979480164158687,0.029001367989056087,0.21532147742818059,0.04049247606019152,0.06347469220246238,36047058400,Kings,20.9,6.7315
36061006900,New York County,2450.0,237500.0,0.47877551020408166,0.8138775510204082,0.007755102040816327,0.0653061224489796,0.08204081632653061,0.04186265286923801,36061006900,New York,15.8,23.75
36047073000,Kings County,2676.0,117857.0,0.5571748878923767,0.033258594917787744,0.8680866965620329,0.028774289985052316,0.0171898355754858,0.018317757009345795,36047073000,Kings,25.7,11.7857
36047100400,Kings County,3004.0,76207.0,0.6041944074567244,0.04727030625832224,0.8788282290279628,0.010652463382157125,0.022969374167776297,0.08055925432756325,36047100400,Kings,30.6,7.6207
36047055700,Kings County,1834.0,107410.0,0.46837513631406763,0.6275899672846238,0.007633587786259542,0.07197382769901854,0.24645583424209377,0.07688113413304253,36047055700,Kings,17.5,10.741
36103135102,Suffolk County,4753.0,141250.0,0.4883231643172733,0.8905954134231012,0.014517147065011572,0.013254786450662739,0.06900904691773617,0.0273511466442247,36103135102,Suffolk,27.2,14.125
36005022101,Bronx County,4030.0,37200.0,0.5116625310173697,0.0064516129032258064,0.1357320099255583,0.043424317617866005,0.7372208436724565,0.4018621036738802,36005022101,Bronx,32.1,3.72
36029009402,Erie County,4516.0,100925.0,0.550044286979628,0.8518600531443755,0.00775022143489814,0.04052258635961027,0.07661647475642161,0.038308237378210805,36029009402,Erie,27.1,10.0925
36059302700,Nassau County,4372.0,158616.0,0.45768526989935954,0.31701738334858187,0.006404391582799634,0.5315645013723697,0.0935498627630375,0.0267612076852699,36059302700,Nassau,20.3,15.8616
36119001101,Westchester County,3314.0,39107.0,0.5307785153892577,0.05069402534701267,0.20579360289680146,0.040132770066385035,0.7033796016898008,0.24592637296318648,36119001101,Westchester,35.2,3.9107
36081047000,Queens County,3637.0,50000.0,0.5122353588122078,0.012372834753918064,0.03079461094308496,0.48831454495463295,0.3060214462469068,0.1936726272352132,36081047000,Queens,22.2,5.0
36047050402,Kings County,1758.0,134602.0,0.5352673492605233,0.6598407281001137,0.23321956769055746,0.010238907849829351,0.06882821387940842,0.09385665529010238,36047050402,Kings,20.1,13.4602
36047028501,Kings County,356.0,50278.0,0.4943820224719101,0.36235955056179775,0.1404494382022472,0.10955056179775281,0.3651685393258427,0.3081395348837209,36047028501,Kings,24.6,5.0278
